                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.1946,                0.87929,                 1.8353,                0.90573,                0.54306,                  0.596,                0.38903,                 1.2403,                0.97666,                 1.8448,              0.0006603,              0.0006603,              0.0006603
                     64,                 1.2232,                0.89275,                 1.8599,                0.88695,                0.58852,                0.61882,                0.39386,                 1.2525,                 0.9825,                 1.8594,              0.0006438,              0.0006438,              0.0006438
                     65,                  1.174,                0.87421,                 1.8399,                0.93407,                0.85646,                0.84756,                0.54187,                 1.2393,                0.94756,                 1.8608,             0.00062729,             0.00062729,             0.00062729
                     66,                 1.1887,                0.91675,                 1.8757,                0.94999,                0.87491,                0.88341,                 0.5667,                 1.2299,                 0.8869,                 1.8721,             0.00061079,             0.00061079,             0.00061079
                     67,                 1.1857,                0.89238,                  1.848,                0.87549,                0.92823,                0.91202,                0.58843,                 1.1496,                0.85885,                 1.8162,             0.00059429,             0.00059429,             0.00059429
                     68,                 1.1731,                 0.8727,                 1.8616,                0.87934,                0.97169,                0.94068,                0.60537,                 1.1265,                0.82765,                 1.7944,             0.00057778,             0.00057778,             0.00057778
                     69,                 1.1051,                0.87518,                 1.7953,                0.89983,                 0.9704,                0.95612,                0.62642,                 1.1277,                 0.7745,                 1.7731,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.0938,                0.81296,                 1.7468,                 0.9376,                0.92823,                0.95408,                0.65079,                 1.1082,                0.77848,                 1.7686,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.1062,                0.84033,                 1.7883,                0.91993,                0.88278,                0.93834,                0.64068,                 1.0833,                0.78243,                  1.769,             0.00052827,             0.00052827,             0.00052827
                     72,                 1.0973,                0.81328,                 1.8348,                0.87843,                0.88278,                0.94487,                0.64345,                 1.0436,                0.76869,                 1.7371,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.1593,                0.85561,                 1.8919,                0.84203,                0.97107,                0.94123,                0.64129,                 1.0241,                0.73222,                  1.715,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.1453,                0.86049,                  1.841,                0.84702,                0.97296,                 0.9504,                0.64612,                 1.0366,                0.72028,                 1.7527,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.1836,                 0.8587,                 1.8508,                0.87512,                 0.9696,                0.95405,                0.63831,                 1.0414,                0.71905,                 1.7715,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.1184,                 0.8097,                 1.8006,                0.87722,                0.92823,                0.93162,                0.60866,                 1.0707,                0.73811,                 1.7881,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.1876,                0.87885,                 1.8755,                0.85591,                0.92401,                0.88903,                0.59318,                 1.1157,                0.75496,                 1.8111,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.0749,                0.79875,                 1.7559,                0.85138,                0.92245,                0.88593,                0.59091,                 1.1109,                 0.7649,                 1.8014,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.1561,                0.86169,                 1.8017,                0.82655,                0.60729,                0.61453,                 0.4171,                 1.0909,                0.76454,                 1.8028,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.1404,                0.86379,                 1.9021,                0.82365,                0.61194,                0.61952,                0.42433,                  1.072,                0.77032,                 1.7939,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.0427,                 0.7921,                 1.6889,                0.87036,                0.61483,                0.63086,                  0.429,                 1.0558,                0.76591,                  1.786,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.0505,                0.76397,                 1.6815,                0.88942,                0.61483,                0.63595,                0.43681,                 1.0312,                0.76234,                 1.7844,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.0572,                 0.7782,                 1.7536,                0.93003,                0.88278,                0.89335,                0.61827,                 1.0058,                0.75462,                 1.7679,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.1812,                 0.8369,                 1.8938,                0.93676,                0.88278,                0.89657,                 0.6377,                0.99877,                0.73468,                  1.753,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.1014,                0.80114,                 1.8239,                0.98805,                0.88278,                0.95559,                0.65293,                 1.0177,                0.73319,                 1.7493,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.0318,                0.76131,                 1.6637,                0.99177,                0.88278,                0.94076,                0.63798,                 1.0426,                0.72458,                 1.7454,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.0913,                0.77282,                 1.6854,                0.99236,                0.88112,                0.95409,                0.64333,                 1.0487,                0.73588,                   1.74,             0.00026422,             0.00026422,             0.00026422
                     88,                0.99853,                0.74347,                 1.6521,                0.98964,                0.87949,                0.95412,                0.63624,                 1.0427,                0.73673,                 1.7243,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.0684,                0.80274,                 1.6726,                0.98859,                0.87909,                0.95365,                0.63933,                  1.032,                0.72516,                  1.716,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.0402,                0.77932,                 1.6804,                0.98961,                0.87888,                0.95588,                0.64608,                 1.0193,                 0.7139,                 1.7008,             0.00021471,             0.00021471,             0.00021471
                     91,                0.85961,                0.74532,                 1.4974,                 0.9915,                0.87875,                0.90385,                0.63762,                 1.0117,                0.70743,                 1.6972,             0.00019821,             0.00019821,             0.00019821
                     92,                0.83427,                0.71031,                 1.4937,                0.99477,                0.87936,                 0.9117,                0.62733,                 1.0265,                0.71814,                 1.7097,              0.0001817,              0.0001817,              0.0001817
                     93,                0.84569,                0.72963,                  1.543,                0.99805,                0.88233,                0.90291,                0.62585,                 1.0768,                0.74098,                 1.7515,              0.0001652,              0.0001652,              0.0001652
                     94,                0.76724,                0.69109,                 1.3627,                0.99561,                0.88278,                0.90187,                0.63054,                 1.0967,                0.74947,                 1.7848,              0.0001487,              0.0001487,              0.0001487
                     95,                0.78761,                 0.6775,                 1.4401,                0.99282,                0.87908,                 0.9049,                0.62985,                 1.0846,                0.74089,                 1.7804,             0.00013219,             0.00013219,             0.00013219
                     96,                0.80357,                0.66715,                 1.4314,                0.99226,                0.87982,                0.90698,                0.63865,                 1.0694,                0.73023,                 1.7659,             0.00011569,             0.00011569,             0.00011569
                     97,                 0.8158,                0.66325,                 1.3904,                0.99104,                0.88278,                0.91132,                0.63442,                 1.0471,                0.72107,                 1.7456,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.75841,                0.63622,                 1.4089,                0.99529,                0.92823,                0.95498,                0.66318,                 1.0309,                 0.7084,                 1.7317,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.72877,                0.60914,                  1.336,                0.99526,                0.92559,                0.95714,                0.66563,                 1.0264,                0.70454,                  1.728,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.72233,                 0.6002,                 1.3033,                0.98591,                0.61483,                0.64932,                0.47637,                 1.0279,                0.70325,                  1.743,             4.9677e-05,             4.9677e-05,             4.9677e-05
